tucaseid,gemetsta,gtmetsta,peeduca,pehspnon,ptdtrace,teage,telfs,temjot,teschenr,teschlvl,tesex,tespempnot,trchildnum,trdpftpt,trernwa,trholiday,trspftpt,trsppres,tryhhchild,tudiaryday,tufnwgtp,tehruslt,tuyear,t010101,t010102,t010199,t010201,t010299,t010301,t010399,t010401,t010499,t010501,t010599,t019999,t020101,t020102,t020103,t020104
"20030100013280",1,-1,44,2,2,60,2,2,-1,-1,1,2,0,2,66000,0,-1,1,-1,6,8155463,30,2003,870,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"20030100013344",2,-1,40,2,1,41,1,2,2,-1,2,1,2,2,20000,0,1,1,0,7,1735323,30,2003,620,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
"20030100013352",1,-1,41,2,1,26,2,2,2,-1,2,2,0,2,20000,0,-1,1,-1,7,3830528,12,2003,560,0,0,80,0,0,0,0,0,0,0,0,0,0,0,15
"20030100013848",2,-1,39,2,2,36,4,-1,2,-1,2,1,2,-1,-1,0,1,1,9,5,6622023,-1,2003,720,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
"20030100014165",2,-1,45,2,1,51,1,2,-1,-1,1,2,2,1,-1,0,-1,1,14,5,3068387,80,2003,385,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
"20030100014169",2,-1,43,2,1,32,2,2,1,2,2,1,1,1,57600,0,1,2,2,5,3455425,40,2003,675,0,0,35,0,0,0,0,0,0,0,0,0,55,0,0
"20030100014209",1,-1,39,2,1,44,1,2,2,-1,2,1,1,1,-1,0,1,1,9,2,1637826,52,2003,531,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"20030100014427",1,-1,40,2,1,21,1,2,2,-1,2,-1,1,1,33250,0,-1,3,14,3,6574427,40,2003,445,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
"20030100014550",2,-1,41,2,1,33,1,2,2,-1,2,1,3,1,63000,0,1,1,3,7,1528296,40,2003,645,0,0,75,0,0,0,0,0,0,0,0,60,120,0,20
